assignment_id,SLS,nama_usaha_bang,jenis_prelist,ada_bang_usaha_label,link_fasih
0370b6ca-6331-47a8-9e9b-ec9f5392e9a5,71030500060002,SD GMIST BETHEL DAGHO (NONA HARTINA SJURIA ROMPIS) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/0370b6ca-6331-47a8-9e9b-ec9f5392e9a5
068dd347-6d61-4ed7-a7e2-9420bf6bbcf3,71030900120010,CLERIZA MAKAWAEHE,OSS Perorangan,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/068dd347-6d61-4ed7-a7e2-9420bf6bbcf3
0cbc9178-d59e-49b8-8728-6e4f2cc10871,71030600150003,WARUNG SEMBAKO (RENI EFLIN TAMPATONDA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/0cbc9178-d59e-49b8-8728-6e4f2cc10871
109b2125-ae27-4f47-9344-b73ec9481681,71030910040003,KIOS MEGI (VEIBE GONI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/109b2125-ae27-4f47-9344-b73ec9481681
17f087b7-7448-434f-a7d8-1a97dfac1121,71030620010006,USAHA BENGKEL MOTOR IRVAN,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/17f087b7-7448-434f-a7d8-1a97dfac1121
364464b2-b5b6-48e1-bc9c-bc277f85c4a6,71031000050002,TOKO STENLY TANDRIS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/364464b2-b5b6-48e1-bc9c-bc277f85c4a6
4340d7f5-1078-40bd-b27f-57536fbe83e2,71030900100003,,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/4340d7f5-1078-40bd-b27f-57536fbe83e2
44bb5bab-1ff8-445b-85a9-21992360d3aa,71031000090003,PENJUAL PULSA LISTRIK DAN HP (HENRA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/44bb5bab-1ff8-445b-85a9-21992360d3aa
5fc13f44-90bf-4b80-ae9c-cba86ac4e69b,71030620010006,TAMBANG RAKYAT (JHON),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/5fc13f44-90bf-4b80-ae9c-cba86ac4e69b
66789f8f-4ac2-4ef9-a1bd-08189988f7a3,71031000280001,PARA PARA KOPRA SAMPING RUMAH JANABU MAKITULUNG,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/66789f8f-4ac2-4ef9-a1bd-08189988f7a3
74f6d2d8-1e68-43e2-8ba4-302ad81950a7,71030910080002,MEGARIA LINK (APRILIO PASCABRATA MUSA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/74f6d2d8-1e68-43e2-8ba4-302ad81950a7
81e688ac-9eac-43f8-9e56-c653cf51ba0d,71030500110001,PEDAGANG ECERAN SAYUR-SAYURAN DAN BUAH-BUAHAN (NAHSYIUN ONTO ),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/81e688ac-9eac-43f8-9e56-c653cf51ba0d
8517013b-66d8-4d09-a6f5-55e1e73f3ae0,71030600090002,USAHA JUAL BENSIN PERTALITE (MARTHA TAKAHEGESANG) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/8517013b-66d8-4d09-a6f5-55e1e73f3ae0
9bc008ca-d377-4268-bd3f-f7c6e110e010,71030400120004,INDUSTRI KOPRA (AGUSTINUS MAKAPATO),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/9bc008ca-d377-4268-bd3f-f7c6e110e010
9c6883ce-bfc7-4042-bc12-ed4c79a8f51a,71030400120001,JUAL PULSA (ALMINTJE),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/9c6883ce-bfc7-4042-bc12-ed4c79a8f51a
