nama_kec,keluarga_tidak_ditemukan,usaha_tidak_ditemukan,total_tidak_ditemukan
(040) MANGANITU SELATAN,49,75,124
(041) TATOARENG,90,35,125
(050) TAMAKO,99,71,170
(060) TABUKAN SELATAN,23,104,127
(061) TABUKAN SELATAN TENGAH,23,21,44
(062) TABUKAN SELATAN TENGGARA,20,9,29
(070) TABUKAN TENGAH,64,50,114
(080) MANGANITU,50,79,129
(090) TAHUNA,65,156,221
(091) TAHUNA TIMUR,51,74,125
(092) TAHUNA BARAT,25,46,71
(100) TABUKAN UTARA,82,178,260
(101) NUSA TABUKAN,4,6,10
(102) KEPULAUAN MARORE,1,14,15
(110) KENDAHE,38,43,81
