nama_kec,keluarga_tidak_ditemukan,usaha_tidak_ditemukan,total_tidak_ditemukan
(040) MANGANITU SELATAN,239,103,342
(041) TATOARENG,123,31,154
(050) TAMAKO,465,89,554
(060) TABUKAN SELATAN,157,115,272
(061) TABUKAN SELATAN TENGAH,65,23,88
(062) TABUKAN SELATAN TENGGARA,60,21,81
(070) TABUKAN TENGAH,284,58,342
(080) MANGANITU,303,93,396
(090) TAHUNA,676,175,851
(091) TAHUNA TIMUR,471,96,567
(092) TAHUNA BARAT,185,49,234
(100) TABUKAN UTARA,358,228,586
(101) NUSA TABUKAN,37,6,43
(102) KEPULAUAN MARORE,30,15,45
(110) KENDAHE,191,71,262
