nama_kec,keluarga_tidak_ditemukan,usaha_tidak_ditemukan,total_tidak_ditemukan
(040) MANGANITU SELATAN,49,75,124
(041) TATOARENG,84,35,119
(050) TAMAKO,104,75,179
(060) TABUKAN SELATAN,23,104,127
(061) TABUKAN SELATAN TENGAH,23,21,44
(062) TABUKAN SELATAN TENGGARA,20,9,29
(070) TABUKAN TENGAH,74,53,127
(080) MANGANITU,50,79,129
(090) TAHUNA,66,156,222
(091) TAHUNA TIMUR,52,75,127
(092) TAHUNA BARAT,25,46,71
(100) TABUKAN UTARA,83,178,261
(101) NUSA TABUKAN,4,6,10
(102) KEPULAUAN MARORE,1,14,15
(110) KENDAHE,42,44,86
